Image_Type,Timeframe,Prediction,Investment,Return,RoR
CPA,7,1,35600,38692.70706373979,1.086873793925275
CPA,7,5,35200,38291.66371003019,1.087831355398585
CPA,14,1,34900,37891.91115131157,1.0857281132180967
CPA,14,5,34500,37490.86779760197,1.0866918202203468
CPA,30,1,33300,36070.085492658356,1.0831857505302809
CPA,30,5,32900,35669.04213894875,1.0841654145577129
MLC,7,1,35600,38692.70706373979,1.086873793925275
MLC,7,5,35200,38291.66371003019,1.087831355398585
MLC,14,1,34900,37891.91115131157,1.0857281132180967
MLC,14,5,34500,37490.86779760197,1.0866918202203468
MLC,30,1,33300,36070.085492658356,1.0831857505302809
MLC,30,5,32900,35669.04213894875,1.0841654145577129
API,7,1,35600,38692.70706373979,1.086873793925275
API,7,5,35200,38291.66371003019,1.087831355398585
API,14,1,34900,37891.91115131157,1.0857281132180967
API,14,5,34500,37490.86779760197,1.0866918202203468
API,30,1,33300,36070.085492658356,1.0831857505302809
API,30,5,32900,35669.04213894875,1.0841654145577129
