Image_Type,Timeframe,Prediction,Investment,Return,RoR
MPA,7,1,35400,36387.59196958627,1.0278980782369003
MPA,7,5,35000,35991.50944294205,1.0283288412269158
MPA,14,1,34700,35683.164527254725,1.0283332716788105
MPA,14,5,34300,35287.0820006105,1.0287779008924343
MPA,30,1,33100,34068.64133353939,1.0292640886265676
MPA,30,5,32700,33672.55880689516,1.0297418595380783
CPA,7,1,35400,36387.59196958627,1.0278980782369003
CPA,7,5,35000,35991.50944294205,1.0283288412269158
CPA,14,1,34700,35683.164527254725,1.0283332716788105
CPA,14,5,34300,35287.0820006105,1.0287779008924343
CPA,30,1,33100,34068.64133353939,1.0292640886265676
CPA,30,5,32700,33672.55880689516,1.0297418595380783
MLC,7,1,35400,36387.59196958627,1.0278980782369003
MLC,7,5,35000,35991.50944294205,1.0283288412269158
MLC,14,1,34700,35683.164527254725,1.0283332716788105
MLC,14,5,34300,35287.0820006105,1.0287779008924343
MLC,30,1,33100,34068.64133353939,1.0292640886265676
MLC,30,5,32700,33672.55880689516,1.0297418595380783
API,7,1,35400,36387.59196958627,1.0278980782369003
API,7,5,35000,35991.50944294205,1.0283288412269158
API,14,1,34700,35683.164527254725,1.0283332716788105
API,14,5,34300,35287.0820006105,1.0287779008924343
API,30,1,33100,34068.64133353939,1.0292640886265676
API,30,5,32700,33672.55880689516,1.0297418595380783
