Image_Type,Timeframe,Prediction,Investment,Return,RoR
MPA,7,1,35400,39788.677654889936,1.123973945053388
MPA,7,5,35000,39388.53919366398,1.125386834104685
MPA,14,1,34700,39014.64123206312,1.1243412458807815
MPA,14,5,34300,38614.50277083716,1.1257872527940864
MPA,30,1,33100,37273.87263150942,1.1260988710425806
MPA,30,5,32700,36873.73417028346,1.1276371305897082
CPA,7,1,35400,39788.677654889936,1.123973945053388
CPA,7,5,35000,39388.53919366398,1.125386834104685
CPA,14,1,34700,39014.64123206312,1.1243412458807815
CPA,14,5,34300,38614.50277083716,1.1257872527940864
CPA,30,1,33100,37273.87263150942,1.1260988710425806
CPA,30,5,32700,36873.73417028346,1.1276371305897082
MLC,7,1,35400,39788.677654889936,1.123973945053388
MLC,7,5,35000,39388.53919366398,1.125386834104685
MLC,14,1,34700,39014.64123206312,1.1243412458807815
MLC,14,5,34300,38614.50277083716,1.1257872527940864
MLC,30,1,33100,37273.87263150942,1.1260988710425806
MLC,30,5,32700,36873.73417028346,1.1276371305897082
API,7,1,35400,39788.677654889936,1.123973945053388
API,7,5,35000,39388.53919366398,1.125386834104685
API,14,1,34700,39014.64123206312,1.1243412458807815
API,14,5,34300,38614.50277083716,1.1257872527940864
API,30,1,33100,37273.87263150942,1.1260988710425806
API,30,5,32700,36873.73417028346,1.1276371305897082
