Image_Type,Timeframe,Prediction,Investment,Return,RoR
MPA,7,1,35400,36020.42526080168,1.017526137310782
MPA,7,5,35000,35618.05314842559,1.0176586613835883
MPA,14,1,34700,35361.185349404834,1.019054332835874
MPA,14,5,34300,34958.81323702874,1.0192073830037534
MPA,30,1,33100,33863.29290504235,1.0230602086115512
MPA,30,5,32700,33460.92079266626,1.0232697490112006
CPA,7,1,35400,36020.42526080168,1.017526137310782
CPA,7,5,35000,35618.05314842559,1.0176586613835883
CPA,14,1,34700,35361.185349404834,1.019054332835874
CPA,14,5,34300,34958.81323702874,1.0192073830037534
CPA,30,1,33100,33863.29290504235,1.0230602086115512
CPA,30,5,32700,33460.92079266626,1.0232697490112006
MLC,7,1,35400,36020.42526080168,1.017526137310782
MLC,7,5,35000,35618.05314842559,1.0176586613835883
MLC,14,1,34700,35361.185349404834,1.019054332835874
MLC,14,5,34300,34958.81323702874,1.0192073830037534
MLC,30,1,33100,33863.29290504235,1.0230602086115512
MLC,30,5,32700,33460.92079266626,1.0232697490112006
API,7,1,35400,36020.42526080168,1.017526137310782
API,7,5,35000,35618.05314842559,1.0176586613835883
API,14,1,34700,35361.185349404834,1.019054332835874
API,14,5,34300,34958.81323702874,1.0192073830037534
API,30,1,33100,33863.29290504235,1.0230602086115512
API,30,5,32700,33460.92079266626,1.0232697490112006
