Date,Open,High,Low,Close,Adj Close,Volume
2018-12-06,8.800000,8.930000,8.710000,8.930000,8.411532,351600
2018-12-07,8.910000,8.940000,8.720000,8.720000,8.213726,48100
2018-12-10,8.670000,8.740000,8.600000,8.730000,8.223145,87600
2018-12-11,8.830000,8.830000,8.680000,8.730000,8.223145,42000
2018-12-12,8.940000,8.940000,8.750000,8.860000,8.345594,68000
2018-12-13,8.910000,8.910000,8.750000,8.750000,8.241983,54700
2018-12-14,8.800000,8.810000,8.720000,8.760000,8.251402,51500
2018-12-17,8.760000,8.760000,8.530000,8.550000,8.053595,64400
2018-12-18,8.540000,8.550000,8.380000,8.400000,8.010678,236300
2018-12-19,8.430000,8.500000,8.260000,8.300000,7.915316,91200
2018-12-20,8.310000,8.390000,8.160000,8.210000,7.829486,108500
2018-12-21,8.200000,8.250000,8.030000,8.030000,7.657828,95100
2018-12-24,8.150000,8.150000,8.000000,8.010000,7.638755,72600
2018-12-26,7.980000,8.250000,7.950000,8.250000,7.867632,353800
2018-12-27,8.160000,8.240000,8.040000,8.210000,7.829486,91800
2018-12-28,8.270000,8.330000,8.200000,8.230000,7.848559,83100
2018-12-31,8.350000,8.350000,8.210000,8.260000,7.877168,293700
2019-01-02,8.260000,8.380000,8.210000,8.320000,7.934388,63500
2019-01-03,8.300000,8.320000,8.230000,8.250000,7.867632,60800
2019-01-04,8.350000,8.500000,8.320000,8.500000,8.106044,35000
2019-01-07,8.510000,8.590000,8.500000,8.570000,8.172800,103400
2019-01-08,8.650000,8.670000,8.550000,8.670000,8.268167,61100
2019-01-09,8.720000,8.750000,8.680000,8.740000,8.334922,42000
2019-01-10,8.770000,8.850000,8.750000,8.840000,8.430286,48800
2019-01-11,8.850000,8.900000,8.800000,8.890000,8.477968,116400
2019-01-14,8.860000,8.860000,8.790000,8.850000,8.439823,32400
2019-01-15,8.840000,8.850000,8.780000,8.800000,8.392141,54300
2019-01-16,8.850000,8.880000,8.820000,8.830000,8.420751,27900
2019-01-17,8.810000,8.970000,8.810000,8.960000,8.544725,31900
2019-01-18,9.000000,9.000000,8.950000,8.950000,8.535189,38200
2019-01-22,8.970000,8.980000,8.840000,8.840000,8.430286,88700
2019-01-23,8.940000,8.960000,8.890000,8.950000,8.535189,92400
2019-01-24,9.000000,9.150000,8.990000,9.150000,8.725919,91600
2019-01-25,9.210000,9.250000,9.170000,9.210000,8.783137,100300
2019-01-28,9.200000,9.200000,9.130000,9.160000,8.735456,89400
2019-01-29,9.210000,9.270000,9.210000,9.260000,8.830822,148200
2019-01-30,9.280000,9.380000,9.250000,9.320000,8.888039,53900
2019-01-31,9.400000,9.490000,9.360000,9.490000,9.050160,548600
2019-02-01,9.560000,9.560000,9.450000,9.500000,9.059698,134200
2019-02-04,9.490000,9.500000,9.420000,9.490000,9.050160,85000
2019-02-05,9.510000,9.560000,9.500000,9.560000,9.116918,184600
2019-02-06,9.500000,9.580000,9.500000,9.500000,9.059698,60700
2019-02-07,9.490000,9.490000,9.350000,9.400000,8.964333,103000
