Date,Open,High,Low,Close,Adj Close,Volume
2022-11-18,26.502501,26.502501,26.502501,26.502501,26.502501,0
2022-11-21,26.330000,26.330000,26.330000,26.330000,26.330000,0
2022-11-22,26.540001,26.540001,26.540001,26.540001,26.540001,0
2022-11-23,26.790001,26.790001,26.790001,26.790001,26.790001,0
2022-11-24,26.930000,26.930000,26.930000,26.930000,26.930000,0
2022-11-25,26.770000,26.770000,26.770000,26.770000,26.770000,0
2022-11-28,26.647499,26.647499,26.647499,26.647499,26.647499,0
2022-11-29,26.530001,26.530001,26.530001,26.530001,26.530001,0
2022-11-30,26.764999,26.764999,26.764999,26.764999,26.764999,0
2022-12-01,27.272499,27.272499,27.272499,27.272499,27.272499,0
2022-12-02,27.087500,27.087500,27.087500,27.087500,27.087500,0
2022-12-05,26.797501,26.797501,26.797501,26.797501,26.797501,0
2022-12-06,26.527500,26.527500,26.527500,26.527500,26.527500,0
2022-12-07,26.495001,26.495001,26.495001,26.495001,26.495001,0
2022-12-08,26.527500,26.527500,26.527500,26.527500,26.527500,0
2022-12-09,26.590000,26.590000,26.590000,26.590000,26.590000,0
2022-12-12,26.337500,26.337500,26.337500,26.337500,26.337500,0
2022-12-13,26.645000,26.645000,26.645000,26.645000,26.645000,0
2022-12-14,26.680000,26.680000,26.680000,26.680000,26.680000,0
2022-12-15,25.967501,25.967501,25.967501,25.967501,25.967501,0
2022-12-16,25.737499,25.737499,25.737499,25.737499,25.737499,0
2022-12-19,25.662500,25.662500,25.662500,25.662500,25.662500,0
2022-12-20,25.482500,25.482500,25.482500,25.482500,25.482500,0
2022-12-21,25.615000,25.615000,25.615000,25.615000,25.615000,0
2022-12-22,25.142500,25.142500,25.142500,25.142500,25.142500,0
2022-12-23,25.232500,25.232500,25.232500,25.232500,25.232500,0
2022-12-28,25.120001,25.120001,25.120001,25.120001,25.120001,0
2022-12-29,25.430000,25.430000,25.430000,25.430000,25.430000,0
2022-12-30,25.437500,25.437500,25.437500,25.437500,25.437500,0
2023-01-03,25.547501,25.547501,25.547501,25.547501,25.547501,0
2023-01-04,25.785000,25.785000,25.785000,25.785000,25.785000,0
2023-01-05,25.660000,25.660000,25.660000,25.660000,25.660000,0
2023-01-06,26.332500,26.332500,26.332500,26.332500,26.332500,0
2023-01-09,26.834999,26.834999,26.834999,26.834999,26.834999,0
2023-01-10,26.592501,26.592501,26.592501,26.592501,26.592501,0
2023-01-11,26.832500,26.832500,26.832500,26.832500,26.832500,0
2023-01-12,27.092501,27.092501,27.092501,27.092501,27.092501,0
2023-01-13,26.987499,26.987499,26.987499,26.987499,26.987499,0
2023-01-16,27.037500,27.037500,27.037500,27.037500,27.037500,0
2023-01-17,27.190001,27.190001,27.190001,27.152500,27.152500,10
2023-01-18,27.232500,27.232500,27.232500,27.232500,27.232500,0
2023-01-19,26.637501,26.637501,26.637501,26.637501,26.637501,0
2023-01-20,26.892500,26.892500,26.892500,26.892500,26.892500,0
2023-01-23,27.334999,27.334999,27.334999,27.334999,27.334999,0
2023-01-24,27.475000,27.475000,27.475000,27.475000,27.475000,0
2023-01-25,27.445000,27.445000,27.445000,27.445000,27.445000,0
2023-01-26,27.792500,27.792500,27.792500,27.792500,27.792500,0
2023-01-27,28.014999,28.014999,28.014999,28.014999,28.014999,0
2023-01-30,28.049999,28.049999,28.049999,28.049999,28.049999,0
2023-01-31,28.160000,28.160000,28.160000,28.150000,28.150000,110
2023-02-01,28.535000,28.535000,28.535000,28.535000,28.535000,0
2023-02-02,29.260000,29.260000,29.260000,29.260000,29.260000,0
2023-02-03,28.975000,28.975000,28.975000,28.975000,28.975000,0
2023-02-06,28.495001,28.495001,28.495001,28.495001,28.495001,0
2023-02-07,28.462500,28.462500,28.462500,28.462500,28.462500,0
2023-02-08,28.469999,28.469999,28.469999,28.469999,28.469999,0
2023-02-09,28.905001,28.905001,28.905001,28.905001,28.905001,0
2023-02-10,28.344999,28.344999,28.344999,28.344999,28.344999,0
2023-02-13,28.605000,28.605000,28.605000,28.605000,28.605000,0
2023-02-14,28.615000,28.615000,28.615000,28.615000,28.615000,0
2023-02-15,28.725000,28.725000,28.725000,28.725000,28.725000,0
2023-02-16,28.950001,28.950001,28.950001,28.950001,28.950001,0
2023-02-17,28.837500,28.837500,28.837500,28.837500,28.837500,0
2023-02-20,29.049999,29.049999,29.049999,29.049999,29.049999,0
2023-02-21,28.697500,28.697500,28.697500,28.697500,28.697500,0
2023-02-22,28.382500,28.382500,28.382500,28.382500,28.382500,0
2023-02-23,28.424999,28.424999,28.424999,28.424999,28.424999,0
2023-02-24,27.990000,27.990000,27.990000,27.990000,27.990000,0
2023-02-27,28.334999,28.334999,28.334999,28.334999,28.334999,0
2023-02-28,28.305000,28.305000,28.305000,28.305000,28.305000,0
2023-03-01,28.455000,28.455000,28.455000,28.455000,28.455000,0
2023-03-02,28.350000,28.350000,28.350000,28.350000,28.350000,0
2023-03-03,28.852501,28.852501,28.852501,28.852501,28.852501,0
2023-03-06,29.094999,29.094999,29.094999,29.094999,29.094999,0
2023-03-07,28.667500,28.667500,28.667500,28.667500,28.667500,0
2023-03-08,28.725000,28.725000,28.725000,28.725000,28.725000,0
2023-03-09,28.545000,28.545000,28.545000,28.545000,28.545000,0
2023-03-10,28.184999,28.184999,28.184999,28.184999,28.184999,0
2023-03-13,27.344999,27.344999,27.344999,27.344999,27.344999,0
2023-03-14,27.467501,27.467501,27.467501,27.467501,27.467501,0
2023-03-15,27.467501,27.467501,27.467501,27.467501,27.467501,0
2023-03-16,26.987499,26.987499,26.987499,26.987499,26.987499,0
2023-03-17,26.590000,26.590000,26.590000,26.590000,26.590000,0
2023-03-20,26.840000,26.840000,26.840000,26.840000,26.840000,0
2023-03-21,27.430000,27.430000,27.430000,27.430000,27.430000,0
2023-03-22,27.532499,27.532499,27.532499,27.532499,27.532499,0
2023-03-23,27.702499,27.702499,27.702499,27.702499,27.702499,0
2023-03-24,27.094999,27.094999,27.094999,27.094999,27.094999,0
2023-03-27,27.322500,27.322500,27.322500,27.322500,27.322500,0
2023-03-28,27.622499,27.622499,27.622499,27.622499,27.622499,0
2023-03-29,27.850000,27.850000,27.850000,27.850000,27.850000,0
2023-03-30,28.355000,28.355000,28.355000,28.355000,28.355000,0
2023-03-31,28.559999,28.559999,28.559999,28.559999,28.559999,0
2023-04-03,28.407499,28.407499,28.407499,28.407499,28.407499,0
2023-04-04,28.192499,28.192499,28.192499,28.192499,28.192499,0
2023-04-05,27.622499,27.622499,27.622499,27.622499,27.622499,0
2023-04-06,27.520000,27.520000,27.520000,27.520000,27.520000,0
2023-04-11,28.032499,28.032499,28.032499,28.032499,28.032499,0
2023-04-12,27.985001,27.985001,27.985001,27.985001,27.985001,0
2023-04-13,28.160000,28.160000,28.160000,28.160000,28.160000,0
2023-04-14,28.209999,28.209999,28.209999,28.209999,28.209999,0
2023-04-17,28.344999,28.344999,28.344999,28.344999,28.344999,0
2023-04-18,28.467501,28.467501,28.467501,28.467501,28.467501,0
2023-04-19,28.197500,28.197500,28.197500,28.197500,28.197500,0
2023-04-20,27.817499,27.817499,27.817499,27.817499,27.817499,0
2023-04-21,27.625000,27.625000,27.625000,27.625000,27.625000,0
2023-04-24,27.963400,27.963400,27.963400,27.777500,27.777500,135
2023-04-25,27.555000,27.555000,27.555000,27.555000,27.555000,0
2023-04-26,27.540001,27.540001,27.540001,27.540001,27.540001,0
2023-04-27,27.545000,27.545000,27.545000,27.545000,27.545000,0
2023-04-28,27.875000,27.875000,27.875000,27.875000,27.875000,0
2023-05-02,27.510000,27.510000,27.510000,27.510000,27.510000,0
2023-05-03,27.805000,27.805000,27.805000,27.805000,27.805000,0
2023-05-04,27.514999,27.514999,27.514999,27.514999,27.514999,0
2023-05-05,27.950001,27.950001,27.950001,27.950001,27.950001,0
2023-05-09,28.320000,28.320000,28.320000,28.100000,28.100000,600
2023-05-10,28.309999,28.309999,28.309999,28.309999,28.309999,0
2023-05-11,28.197500,28.197500,28.197500,28.197500,28.197500,0
2023-05-12,28.230000,28.230000,28.230000,28.230000,28.230000,0
2023-05-15,28.275000,28.275000,28.275000,28.275000,28.275000,0
2023-05-16,28.040001,28.040001,28.040001,28.040001,28.040001,0
2023-05-17,28.035000,28.035000,28.035000,28.035000,28.035000,0
2023-05-18,28.357500,28.357500,28.357500,28.357500,28.357500,0
2023-05-19,28.395000,28.395000,28.395000,28.395000,28.395000,0
2023-05-22,28.570000,28.570000,28.570000,28.570000,28.570000,0
2023-05-23,28.415001,28.415001,28.415001,28.415001,28.415001,0
2023-05-24,27.830000,27.830000,27.830000,27.830000,27.830000,0
2023-05-25,27.655001,27.655001,27.655001,27.655001,27.655001,0
2023-05-26,27.955000,27.955000,27.955000,27.955000,27.955000,0
2023-05-30,27.805000,27.805000,27.805000,27.805000,27.805000,0
