Image_Type,Timeframe,Prediction,Accuracy,Precision,Recall,F1_Score,Hit_Rate,Long_Average_RoR,Long_Investment,Long_Return,Short_Average_RoR,Short_Investment,Short_Return
MPA,30,1,0.6550724637681159,0.5597828720423048,0.6192904973377894,0.5832267719611473,0.6550724637681159,0.0005838713139179248,3000.0,1.279101821144144,0.001155458472247227,3900.0,8.163187554232138
MPA,30,5,0.4956521739130435,0.6074362358234957,0.5171545989964508,0.5508533092901104,0.4956521739130435,0.002219955341142337,3540.0,6.785991541890313,-0.002532697721746351,3360.0,-15.84243045022431
MPA,30,30,0.564327485380117,0.5986068833127657,0.6755865097852602,0.6171478418213844,0.564327485380117,0.007437338337469024,4440.0,40.16767714550525,0.002395750464193473,2400.0,1.8335008109287092
CPA,30,1,0.5826086956521739,0.473891007712518,0.38541276561108745,0.41546910755148736,0.5826086956521739,-0.0008860177080686194,2300.0,-3.598038739725335,9.566553907032717e-05,4600.0,3.286046993362656
CPA,30,5,0.5507246376811594,0.6512881735360921,0.5556727476333712,0.5976775869768197,0.5507246376811594,0.003319376561372799,3680.0,12.825520957540803,-0.0006763077980932936,3220.0,-1.343490526716416
CPA,30,30,0.5116959064327485,0.5498817838312192,0.5310717440276711,0.5327835521072236,0.5116959064327485,0.004078038387977363,3760.0,36.96831909772923,0.002595238815656046,3080.0,-1.3658572368473163
MLC,30,1,0.553623188405797,0.3667968085233137,0.31401550168903336,0.3323231023325248,0.553623188405797,-0.0017549992068485658,2100.0,-3.0646594386910113,0.00042416268079531743,4800.0,3.819426294396981
MLC,30,5,0.48405797101449277,0.6143965846534096,0.47786400170749416,0.5275553899729256,0.48405797101449277,0.0023424256756985813,3380.0,8.661848675284642,-0.0017519393140768128,3520.0,-4.481983675603207
MLC,30,30,0.5146198830409356,0.5480056389536878,0.6424153065279374,0.5854557194110945,0.5146198830409356,0.0043424070455538736,4580.0,31.1779078943039,0.001480607386470574,2260.0,-7.156268440272657
API,30,1,0.6,0.3836949020313859,0.38534164425850165,0.37706167757875486,0.6,-0.0005151356344679167,2260.0,-2.4596500237376673,0.0004950485622015836,4640.0,4.424435709350324
API,30,5,0.463768115942029,0.5783763564672976,0.5545765770968182,0.55207476921076,0.463768115942029,0.0006192434107232071,4000.0,1.1980665429582609,-0.0024844598753602167,2900.0,-14.380712709044948
API,30,30,0.4619883040935672,0.5254272920939588,0.4555768024613009,0.48389684866451116,0.4619883040935672,-0.0004643213814664954,3420.0,7.411365800669945,-0.008757374897349911,3420.0,-30.922810533906596
