Image_Type,Timeframe,Prediction,Accuracy,Precision,Recall,F1_Score,Hit_Rate,Long_Average_RoR,Long_Investment,Short_Average_RoR,Short_Investment
MPA,7,1,0.6450381679389313,0.5437826914760203,0.5180211148515165,0.5299102026416994,0.6450381679389313,0.001367677248831814,1940.0,0.0001169609848612315,3300.0
MPA,7,5,0.5057471264367817,0.5742084494972232,0.5576780738418669,0.5648051704212962,0.5057471264367817,0.0013036183208827727,2920.0,-3.7947444259218715e-05,2300.0
MPA,14,1,0.5862068965517241,0.4042442935546384,0.5779693486590038,0.46949376917299934,0.5862068965517241,-0.0012528493701803498,2440.0,7.215674712396433e-05,2780.0
MPA,14,5,0.4904214559386973,0.5122275442365397,0.43745421554097863,0.46918767507002795,0.4904214559386973,-0.0003476736420072637,2340.0,0.001569157212256412,2880.0
MPA,30,1,0.6692307692307692,0.5574377206503903,0.4606355409296586,0.48878517878517874,0.6692307692307692,0.0030342405903640234,1560.0,-6.64083665010958e-05,3640.0
MPA,30,5,0.5076923076923077,0.5478052353052354,0.6236449034836131,0.5820422762083882,0.5076923076923077,0.0006040840601346364,3300.0,-0.001766011508955671,1900.0
CPA,7,1,0.6717557251908397,0.6070376936340116,0.4265682044473946,0.4930782527377668,0.6717557251908397,0.0009155521545120987,1440.0,6.074668185074117e-05,3800.0
CPA,7,5,0.578544061302682,0.6717576225892656,0.5671204523258276,0.6033968452178546,0.578544061302682,0.003493777375825996,2620.0,-0.00039497095602076285,2600.0
CPA,14,1,0.6513409961685823,0.4782287427714714,0.6035121328224776,0.5273197504656477,0.6513409961685823,0.0005003413987473291,2180.0,0.0005285091064680233,3040.0
CPA,14,5,0.6053639846743295,0.6096526040176167,0.6610393684920937,0.6293487325803575,0.6053639846743295,-0.0007339004893206589,2980.0,0.001625982891750611,2240.0
CPA,30,1,0.6076923076923076,0.39631032011466794,0.3490401755107637,0.35738777800448884,0.6076923076923076,0.0007317645599027231,1520.0,-0.0005944941290061525,3680.0
CPA,30,5,0.5,0.5442971609049916,0.6189586220231382,0.5785498829528681,0.5,0.0007336079300988018,3300.0,0.00010152234455897725,1900.0
MLC,7,1,0.5610687022900763,0.4061949500880798,0.22522639988620738,0.2863888095140901,0.5610687022900763,0.0004091813718660996,1180.0,-0.0002245475233713754,4060.0
MLC,7,5,0.4942528735632184,0.5632483589996423,0.5345760256383989,0.5365149011816727,0.4942528735632184,0.00010690080461359035,2860.0,-0.0006988720847736427,2360.0
MLC,14,1,0.6015325670498084,0.46989617936129974,0.5315453384418901,0.484934468469817,0.6015325670498084,0.0013046302815743489,2200.0,0.0007683444384898409,3020.0
MLC,14,5,0.4482758620689655,0.47833317234939954,0.42916387159991165,0.44852510397447903,0.4482758620689655,-0.00031995961724683294,2480.0,0.001795832827931629,2740.0
MLC,30,1,0.6538461538461539,0.4990879953379954,0.29647744412450294,0.36129901641410594,0.6538461538461539,0.003007323519180213,1080.0,-0.00010860738929971388,4120.0
MLC,30,5,0.5076923076923077,0.5727506868131867,0.581060552350875,0.5517074753203786,0.5076923076923077,0.00012561965959617972,2980.0,-0.0001875258601766595,2220.0
API,7,1,0.6526717557251909,0.5745910577971647,0.4414402667804593,0.4976952545375558,0.6526717557251909,0.0009001761783973876,1580.0,0.00023234472593279052,3660.0
API,7,5,0.4827586206896552,0.5568270345273387,0.5245714839401452,0.5385745494645089,0.4827586206896552,0.0020188942683218598,2840.0,0.00025637803096079266,2380.0
API,14,1,0.6896551724137931,0.5446702244116037,0.4963601532567049,0.5131414267834794,0.6896551724137931,9.09333755457933e-05,1620.0,0.0004602632030726745,3600.0
API,14,5,0.47126436781609193,0.49535697757935526,0.4710801496118516,0.4812403144994914,0.47126436781609193,-0.0026638344644448588,2640.0,0.0007327236282780997,2580.0
API,30,1,0.5576923076923077,0.3542176573426573,0.380087755381873,0.3607092801154307,0.5576923076923077,0.0006061025266627374,1820.0,-0.0008126314474103332,3380.0
API,30,5,0.5269230769230769,0.5584493434322462,0.7136689117334278,0.6228617328617327,0.5269230769230769,0.00044574053415745684,3720.0,-0.0006085809485315688,1480.0
