Image_Type,Timeframe,Prediction,Accuracy,Precision,Recall,F1_Score,Hit_Rate,Long_Average_RoR,Long_Investment,Long_Returns,Long_RoR,Short_Average_RoR,Short_Investment,Short_Returns,Short_RoR,Total_Investment,Total_Returns,Total_RoR
MPA,7,1,0.672316384180791,0.5321100917431193,0.4715447154471545,0.5,0.672316384180791,0.0009822672624339027,10900,11619.260380391928,1.0659871908616447,-0.0001458142186548282,24500,23023.833394808735,0.939748301828928,35400,35636.32340482707,1.0066758023962448
MPA,7,5,0.5742857142857143,0.5862068965517241,0.4885057471264368,0.5329153605015674,0.5742857142857143,0.0031429542796764347,14500,15340.00137812431,1.0579311295258145,-0.0008495641751129544,20500,18797.174741502597,0.9169353532440291,35000,34364.860898805004,0.9818531685372858
MPA,14,1,0.6368876080691642,0.46236559139784944,0.36134453781512604,0.40566037735849053,0.6368876080691642,-0.0008178312144072053,9300,9451.353598308691,1.0162745804633002,-0.0007007307890551067,25400,22945.40259276736,0.9033623068018646,34700,32415.66591738786,0.9341690466106012
MPA,14,5,0.521865889212828,0.5185185185185185,0.41420118343195267,0.4605263157894737,0.521865889212828,0.0010816206028770557,13500,14709.039713612827,1.089558497304654,-0.0018904231184881184,20800,20022.828580583977,0.9626359894511527,34300,36851.08292978049,1.0743755956204224
MPA,30,1,0.6646525679758308,0.5116279069767442,0.3893805309734513,0.44221105527638194,0.6646525679758308,0.001065048180719274,8600,9171.850094517593,1.0664941970369295,6.418307387167739e-05,24500,22993.795972771004,0.9385222846028981,33100,33258.21498292665,1.0047799088497478
MPA,30,5,0.5259938837920489,0.5034013605442177,0.47435897435897434,0.4884488448844884,0.5259938837920489,0.0009537924571746867,14700,15725.785486281602,1.0697813255973878,-0.000656184362202637,18000,16929.345315438488,0.9405191841910271,32700,33513.83759906691,1.024887999971465
CPA,7,1,0.655367231638418,0.5038167938931297,0.5365853658536586,0.5196850393700788,0.655367231638418,0.0011153414380882815,13100,15557.010928798181,1.1875580861678001,1.4879431452181622e-05,22300,23693.054335163615,1.0624688042674266,35400,44789.63084299286,1.265243809124092
CPA,7,5,0.5714285714285714,0.5674157303370787,0.5804597701149425,0.5738636363636365,0.5714285714285714,0.0029287604333544355,17800,19809.219987244745,1.1128775273733003,-0.0006312190076404016,17200,16888.74282656197,0.9819036527070913,35000,38822.76510173919,1.1092218600496913
CPA,14,1,0.6743515850144092,0.53,0.44537815126050423,0.48401826484018273,0.6743515850144092,0.000885046463772859,10000,10642.76871393066,1.064276871393066,-5.434279798721113e-05,24700,23170.357726676266,0.9380711630233306,34700,34654.04961255096,0.9986757813415262
CPA,14,5,0.41690962099125367,0.3959731543624161,0.34911242603550297,0.37106918238993714,0.41690962099125367,-0.0047971502184343436,14900,14031.763666986932,0.9417291051669081,-0.006463928724642518,19400,16308.329676770203,0.8406355503489795,34300,27458.55802834611,0.8005410503890994
CPA,30,1,0.6374622356495468,0.46464646464646464,0.40707964601769914,0.43396226415094336,0.6374622356495468,-6.33603224988475e-05,9900,10215.398665787987,1.0318584510896955,-0.0003540601826322519,23200,21011.177656256685,0.9056542093214088,33100,30991.591115165742,0.9363018463796297
CPA,30,5,0.5412844036697247,0.5272727272727272,0.3717948717948718,0.43609022556390975,0.5412844036697247,0.0016621018332619627,11000,11699.059479880934,1.0635508618073577,-0.000347877763789575,21700,20261.060635041576,0.9336894301862477,32700,32703.29140986059,1.0001006547357978
MLC,7,1,0.6214689265536724,0.43209876543209874,0.2845528455284553,0.34313725490196073,0.6214689265536724,7.228042567624923e-05,8100,8333.146511141855,1.028783519894056,-0.0005016003688496417,27300,24902.169117733854,0.912167366949958,35400,33545.544475509596,0.94761425072061
MLC,7,5,0.49142857142857144,0.48507462686567165,0.3735632183908046,0.42207792207792205,0.49142857142857144,0.00015783822118626303,13400,13897.687003557561,1.037140821161012,-0.0028182347445012933,21600,19901.468436950494,0.9213642794884488,35000,34050.00186196794,0.9728571960562269
MLC,14,1,0.579250720461095,0.3761467889908257,0.3445378151260504,0.3596491228070175,0.579250720461095,-0.00011689568482587973,10900,11622.102208170703,1.0662479090064865,-0.00048180229884936104,23800,22550.35703919934,0.9474939932436698,34700,35352.563574377346,1.0188058666967534
MLC,14,5,0.46647230320699706,0.45569620253164556,0.4260355029585799,0.44036697247706424,0.46647230320699706,-0.0019441473167966144,15800,15835.050361143687,1.0022183772875752,-0.004575146303177276,18500,16371.433418437531,0.8849423469425692,34300,30913.289965639902,0.9012620981236124
MLC,30,1,0.6344410876132931,0.4393939393939394,0.25663716814159293,0.3240223463687151,0.6344410876132931,0.0005343551539982033,6600,6693.2368681909575,1.0141267982107511,-0.00015321452935628376,26500,23431.721102746364,0.8842158906696741,33100,29557.71946614729,0.892982461212909
MLC,30,5,0.5076452599388379,0.4778761061946903,0.34615384615384615,0.40148698884758366,0.5076452599388379,-0.00026792851643806155,11300,11554.288858534583,1.0225034388083702,-0.0013485822371899748,21400,19182.070403872192,0.8963584300874856,32700,30395.97205290867,0.9295404297525587
API,7,1,0.6468926553672316,0.49193548387096775,0.4959349593495935,0.4939271255060729,0.6468926553672316,0.0011486457126408675,12400,14017.174075874962,1.1304172641834647,-1.5632469924379928e-06,23000,22983.88509318746,0.9992993518777156,35400,40353.695057383404,1.1399348886266498
API,7,5,0.5342857142857143,0.5364238410596026,0.46551724137931033,0.4984615384615384,0.5342857142857143,0.000909215674501844,15100,16089.851541122993,1.0655530821935757,-0.0024753641186003026,19900,18678.15803063168,0.9386009060618934,35000,35501.63986011449,1.0143325674318426
API,14,1,0.5936599423631124,0.39622641509433965,0.35294117647058826,0.37333333333333335,0.5936599423631124,-0.0004859947312711695,10600,10959.093551021404,1.0338767500963588,-0.0006366919460368092,24100,22214.763440907158,0.9217744166351518,34700,33693.55682781972,0.9709958740005682
API,14,5,0.5247813411078717,0.5176470588235295,0.5207100591715976,0.5191740412979351,0.5247813411078717,0.001345202171370328,17000,18341.792219618244,1.0789289540951907,-0.001795042895381361,17300,16491.27057813136,0.9532526345740671,34300,35960.78815220829,1.0484194796562183
API,30,1,0.6314199395770392,0.4430379746835443,0.30973451327433627,0.3645833333333333,0.6314199395770392,0.0005219542611586841,7900,8297.228366997637,1.0502820717718528,-0.00013744009449111308,25200,23231.91713332582,0.9219014735446754,33100,32170.02476357751,0.9719040714071755
API,30,5,0.5107033639143731,0.4873417721518987,0.4935897435897436,0.4904458598726115,0.5107033639143731,-0.00018385793780353876,15800,16825.376380341455,1.0648972392621174,-0.001700415565527294,16900,15877.001237438002,0.9394675288424853,32700,33232.23761271593,1.0162763795937593
