Image_Type,Timeframe,Prediction,Accuracy,Precision,Recall,F1_Score,Hit_Rate,Long_Average_RoR,Long_Investment,Long_Return,Short_Average_RoR,Short_Investment,Short_Return
OHLC,7,5,0.6405228758169934,0.716302842976271,0.6738562091503267,0.6200791427682183,0.6405228758169934,0.014847120611480188,1740.0,13.150071498253862,0.01568757285812856,1320.0,13.141992031099324
OHLC,14,5,0.6274509803921569,0.5541549953314658,0.6454248366013072,0.5457604544291851,0.6274509803921569,0.012405198716610893,1680.0,9.503779418667394,0.010456047817460404,1380.0,11.524077147379995
OHLC,30,5,0.5821917808219178,0.4949771689497717,0.6328767123287672,0.5217757126468915,0.5821917808219178,0.004626739551839959,1760.0,8.651118806092786,0.008628263104350633,1160.0,8.143161496957003
OHLC,30,30,0.6643835616438356,0.5107088497499457,0.6991282689912828,0.5636994684864439,0.6643835616438356,0.012769842956064254,1640.0,18.245806152291248,0.04496653378096973,1280.0,39.919438944560035
OHLC,90,5,0.5174825174825175,0.42160385910385906,0.5122377622377622,0.44619467523072537,0.5174825174825175,-0.0016170437213300106,1480.0,6.943383071606922,0.010846158744029753,1380.0,5.3524340843971725
OHLC,90,30,0.7552447552447552,0.8256558256558256,0.6301780463379735,0.6516749916749918,0.7552447552447552,0.03931872027552434,1360.0,31.059710189412993,0.023968565920868184,1500.0,32.48671726343268
OHLC,90,90,0.7552447552447552,0.5345332029824007,0.7982099422316814,0.601901885992795,0.7552447552447552,0.02122740542479374,1320.0,41.24243761286504,0.07570342152944047,1540.0,121.03322116572376
OHLC,180,5,0.49264705882352944,0.7006302521008404,0.299512987012987,0.3096193771626298,0.49264705882352944,0.004679310209221682,800.0,2.197554651304715,-0.003352762345350306,1920.0,3.8596436622065524
OHLC,180,30,0.7352941176470589,0.7520193947144075,0.6450069538304832,0.6869747899159664,0.7352941176470589,0.02386243866452791,1300.0,28.819589805324682,0.02020247708104985,1420.0,31.711983532138937
OHLC,180,90,0.8088235294117647,0.5960609243697479,0.7948179271708684,0.66031346749226,0.8088235294117647,0.029514493480459515,1340.0,58.70568122696994,0.08029365847918704,1380.0,110.46960723148489
ColoredOHLC,7,5,0.6209150326797386,0.7504980793486985,0.568408658613084,0.5537085764165814,0.6209150326797386,0.010908273178407653,1460.0,14.59099038911126,0.021826346438057097,1600.0,14.550341270786713
ColoredOHLC,14,5,0.6013071895424836,0.5177404295051353,0.6033509378983791,0.5380443959805497,0.6013071895424836,0.005177003352205951,1640.0,10.462787949490657,0.007381462383550667,1420.0,10.877382629131118
ColoredOHLC,30,5,0.5684931506849316,0.45541157000769666,0.5986760175657075,0.5026342480609477,0.5684931506849316,0.005005680703825811,1660.0,9.170490560333823,0.009441486256094823,1260.0,7.661893969198839
ColoredOHLC,30,30,0.7191780821917808,0.6685761726857619,0.6554098600835103,0.6360078277886497,0.7191780821917808,0.01739497921822324,1380.0,29.7905266239244,0.04318898503039007,1540.0,51.3067629111341
ColoredOHLC,90,5,0.5244755244755245,0.5896658896658896,0.5225793942899206,0.4975337424120385,0.5244755244755245,0.005567831723774115,1520.0,6.176804836073376,-0.0017492146635763848,1340.0,3.0669765275256227
ColoredOHLC,90,30,0.7832167832167832,0.7204160793093599,0.8732738276216536,0.7825050615040503,0.7832167832167832,0.02361043970692302,1800.0,44.78494784138346,0.045302343536186084,1060.0,45.27779104367202
ColoredOHLC,90,90,0.7832167832167832,0.5365629845267854,0.8039044289044289,0.6107015700826145,0.7832167832167832,0.01756112067691267,1320.0,40.05089245775973,0.07447740561120642,1540.0,118.9162398757514
ColoredOHLC,180,5,0.5367647058823529,0.5512281835811247,0.5468819106590005,0.5420698582463289,0.5367647058823529,0.000651888275951118,1500.0,1.4154263859496197,0.00022596831184933187,1220.0,0.2889855901167776
ColoredOHLC,180,30,0.7058823529411765,0.6724230130923843,0.7105149752208575,0.6825406330253194,0.7058823529411765,0.025715844947846078,1600.0,28.987185487123185,0.030353322515478898,1120.0,32.139235168878756
