Image,TimePrediction,LastPrice,FuturePrice,Label
images/OHLC/S&P500_2019-02-01 00:00:00_14.png,5,270.059998,270.140015,1
images/OHLC/S&P500_2019-02-15 00:00:00_14.png,5,277.369995,277.420013,1
images/OHLC/S&P500_2019-03-01 00:00:00_14.png,5,280.420013,275.01001,0
images/OHLC/S&P500_2019-03-15 00:00:00_14.png,5,281.309998,284.730011,1
images/OHLC/S&P500_2019-03-29 00:00:00_14.png,5,282.480011,287.179993,1
images/OHLC/S&P500_2019-04-12 00:00:00_14.png,5,290.160004,290.019989,0
images/OHLC/S&P500_2019-04-26 00:00:00_14.png,5,293.410004,291.179993,0
images/OHLC/S&P500_2019-05-10 00:00:00_14.png,5,288.100006,287.700012,0
images/OHLC/S&P500_2019-05-24 00:00:00_14.png,5,282.779999,279.029999,0
images/OHLC/S&P500_2019-06-07 00:00:00_14.png,5,287.649994,289.579987,1
images/OHLC/S&P500_2019-06-21 00:00:00_14.png,5,294.0,291.5,0
images/OHLC/S&P500_2019-07-05 00:00:00_14.png,5,298.459991,299.309998,1
images/OHLC/S&P500_2019-07-19 00:00:00_14.png,5,297.170013,300.0,1
images/OHLC/S&P500_2019-08-02 00:00:00_14.png,5,292.619995,293.619995,1
images/OHLC/S&P500_2019-08-16 00:00:00_14.png,5,288.850006,292.359985,1
images/OHLC/S&P500_2019-08-30 00:00:00_14.png,5,292.450012,297.820007,1
images/OHLC/S&P500_2019-09-13 00:00:00_14.png,5,301.089996,301.079987,0
images/OHLC/S&P500_2019-09-27 00:00:00_14.png,5,295.399994,290.420013,0
images/OHLC/S&P500_2019-10-11 00:00:00_14.png,5,296.279999,299.279999,1
images/OHLC/S&P500_2019-10-25 00:00:00_14.png,5,301.600006,303.329987,1
images/OHLC/S&P500_2019-11-08 00:00:00_14.png,5,308.940002,309.549988,1
images/OHLC/S&P500_2019-11-22 00:00:00_14.png,5,310.959991,314.309998,1
images/OHLC/S&P500_2019-12-06 00:00:00_14.png,5,314.869995,317.130005,1
images/OHLC/S&P500_2019-12-20 00:00:00_14.png,5,320.730011,322.940002,1
images/OHLC/S&P500_2020-01-03 00:00:00_14.png,5,322.410004,326.649994,1
images/OHLC/S&P500_2020-01-17 00:00:00_14.png,5,331.950012,331.720001,0
images/OHLC/S&P500_2020-01-31 00:00:00_14.png,5,321.730011,333.980011,1
images/OHLC/S&P500_2020-02-14 00:00:00_14.png,5,337.600006,336.950012,0
images/OHLC/S&P500_2020-02-28 00:00:00_14.png,5,296.26001,302.459991,1
images/OHLC/S&P500_2020-03-13 00:00:00_14.png,5,269.320007,240.509995,0
images/OHLC/S&P500_2020-03-27 00:00:00_14.png,5,253.419998,251.830002,0
images/OHLC/S&P500_2020-04-10 00:00:00_14.png,5,275.660004,279.100006,1
images/OHLC/S&P500_2020-04-24 00:00:00_14.png,5,282.970001,290.480011,1
images/OHLC/S&P500_2020-05-08 00:00:00_14.png,5,292.440002,284.970001,0
images/OHLC/S&P500_2020-05-22 00:00:00_14.png,5,295.440002,302.970001,1
images/OHLC/S&P500_2020-06-05 00:00:00_14.png,5,319.339996,300.609985,0
images/OHLC/S&P500_2020-06-19 00:00:00_14.png,5,308.640015,307.350006,0
images/OHLC/S&P500_2020-07-03 00:00:00_14.png,5,317.049988,314.380005,0
images/OHLC/S&P500_2020-07-17 00:00:00_14.png,5,321.720001,322.959991,1
images/OHLC/S&P500_2020-07-31 00:00:00_14.png,5,326.519989,334.329987,1
images/OHLC/S&P500_2020-08-14 00:00:00_14.png,5,336.839996,338.279999,1
images/OHLC/S&P500_2020-08-28 00:00:00_14.png,5,350.579987,345.390015,0
images/OHLC/S&P500_2020-09-11 00:00:00_14.png,5,334.059998,335.839996,1
images/OHLC/S&P500_2020-09-25 00:00:00_14.png,5,328.730011,337.040009,1
images/OHLC/S&P500_2020-10-09 00:00:00_14.png,5,346.850006,347.5,1
images/OHLC/S&P500_2020-10-23 00:00:00_14.png,5,345.779999,329.980011,0
images/OHLC/S&P500_2020-11-06 00:00:00_14.png,5,350.160004,353.209991,1
images/OHLC/S&P500_2020-11-20 00:00:00_14.png,5,355.329987,363.670013,1
images/OHLC/S&P500_2020-12-04 00:00:00_14.png,5,369.850006,366.730011,0
images/OHLC/S&P500_2020-12-18 00:00:00_14.png,5,369.179993,369.0,0
images/OHLC/S&P500_2021-01-01 00:00:00_14.png,5,368.790009,379.100006,1
images/OHLC/S&P500_2021-01-15 00:00:00_14.png,5,375.700012,384.23999,1
images/OHLC/S&P500_2021-01-29 00:00:00_14.png,5,370.070007,386.190002,1
images/OHLC/S&P500_2021-02-12 00:00:00_14.png,5,392.640015,390.720001,0
images/OHLC/S&P500_2021-02-26 00:00:00_14.png,5,380.359985,376.700012,0
images/OHLC/S&P500_2021-03-12 00:00:00_14.png,5,394.059998,391.480011,0
images/OHLC/S&P500_2021-03-26 00:00:00_14.png,5,395.980011,400.609985,1
images/OHLC/S&P500_2021-04-09 00:00:00_14.png,5,411.48999,415.869995,1
images/OHLC/S&P500_2021-04-23 00:00:00_14.png,5,416.73999,420.059998,1
images/OHLC/S&P500_2021-05-07 00:00:00_14.png,5,422.119995,410.279999,0
images/OHLC/S&P500_2021-05-21 00:00:00_14.png,5,414.940002,419.290009,1
images/OHLC/S&P500_2021-06-04 00:00:00_14.png,5,422.600006,423.609985,1
images/OHLC/S&P500_2021-06-18 00:00:00_14.png,5,414.920013,425.100006,1
images/OHLC/S&P500_2021-07-02 00:00:00_14.png,5,433.720001,430.920013,0
images/OHLC/S&P500_2021-07-16 00:00:00_14.png,5,431.339996,435.459991,1
images/OHLC/S&P500_2021-07-30 00:00:00_14.png,5,438.51001,441.76001,1
images/OHLC/S&P500_2021-08-13 00:00:00_14.png,5,445.920013,439.859985,0
images/OHLC/S&P500_2021-08-27 00:00:00_14.png,5,450.25,453.190002,1
images/OHLC/S&P500_2021-09-10 00:00:00_14.png,5,445.440002,447.170013,1
images/OHLC/S&P500_2021-09-24 00:00:00_14.png,5,443.910004,429.140015,0
images/OHLC/S&P500_2021-10-08 00:00:00_14.png,5,437.859985,442.5,1
images/OHLC/S&P500_2021-10-22 00:00:00_14.png,5,453.119995,458.320007,1
images/OHLC/S&P500_2021-11-05 00:00:00_14.png,5,468.529999,463.769989,0
images/OHLC/S&P500_2021-11-19 00:00:00_14.png,5,468.890015,458.970001,0
images/OHLC/S&P500_2021-12-03 00:00:00_14.png,5,453.420013,466.350006,1
images/OHLC/S&P500_2021-12-17 00:00:00_14.png,5,459.869995,470.600006,1
images/OHLC/S&P500_2021-12-31 00:00:00_14.png,5,474.959991,467.940002,0
images/OHLC/S&P500_2022-01-14 00:00:00_14.png,5,464.720001,446.75,0
images/OHLC/S&P500_2022-01-28 00:00:00_14.png,5,441.950012,446.600006,1
images/OHLC/S&P500_2022-02-11 00:00:00_14.png,5,440.459991,437.059998,0
images/OHLC/S&P500_2022-02-25 00:00:00_14.png,5,437.75,435.709991,0
images/OHLC/S&P500_2022-03-11 00:00:00_14.png,5,420.070007,441.070007,1
images/OHLC/S&P500_2022-03-25 00:00:00_14.png,5,452.690002,451.640015,0
images/OHLC/S&P500_2022-04-08 00:00:00_14.png,5,447.570007,437.790009,0
images/OHLC/S&P500_2022-04-22 00:00:00_14.png,5,426.040009,427.809998,1
images/OHLC/S&P500_2022-05-06 00:00:00_14.png,5,411.339996,392.339996,0
images/OHLC/S&P500_2022-05-20 00:00:00_14.png,5,389.630005,405.309998,1
images/OHLC/S&P500_2022-06-03 00:00:00_14.png,5,410.540009,401.440002,0
images/OHLC/S&P500_2022-06-17 00:00:00_14.png,5,365.859985,378.059998,1
images/OHLC/S&P500_2022-07-01 00:00:00_14.png,5,381.23999,388.98999,1
images/OHLC/S&P500_2022-07-15 00:00:00_14.png,5,385.130005,398.790009,1
images/OHLC/S&P500_2022-07-29 00:00:00_14.png,5,411.98999,414.170013,1
images/OHLC/S&P500_2022-08-12 00:00:00_14.png,5,427.100006,427.890015,1
images/OHLC/S&P500_2022-08-26 00:00:00_14.png,5,405.309998,396.420013,0
images/OHLC/S&P500_2022-09-09 00:00:00_14.png,5,406.600006,390.119995,0
images/OHLC/S&P500_2022-09-23 00:00:00_14.png,5,367.950012,362.790009,0
images/OHLC/S&P500_2022-10-07 00:00:00_14.png,5,362.790009,365.970001,1
images/OHLC/S&P500_2022-10-21 00:00:00_14.png,5,374.290009,379.980011,1
images/OHLC/S&P500_2022-11-04 00:00:00_14.png,5,376.350006,394.690002,1
images/OHLC/S&P500_2022-11-18 00:00:00_14.png,5,396.029999,402.329987,1
images/OHLC/S&P500_2022-12-02 00:00:00_14.png,5,406.910004,396.23999,0
images/OHLC/S&P500_2022-12-16 00:00:00_14.png,5,383.269989,380.720001,0
images/OHLC/S&P500_2022-12-30 00:00:00_14.png,5,382.429993,379.380005,0
images/OHLC/S&P500_2023-01-13 00:00:00_14.png,5,398.5,388.640015,0
images/OHLC/S&P500_2023-01-27 00:00:00_14.png,5,405.679993,416.779999,1
