Image,TimePrediction,LastPrice,FuturePrice,Label
images/OHLC/S&P500_2019-02-01 00:00:00_14.png,5,270.059998,270.140015,1
images/OHLC/S&P500_2019-04-02 00:00:00_14.png,5,285.970001,288.790009,1
images/OHLC/S&P500_2019-06-01 00:00:00_14.png,5,274.570007,287.649994,1
images/OHLC/S&P500_2019-07-31 00:00:00_14.png,5,297.429993,287.799988,0
images/OHLC/S&P500_2019-09-29 00:00:00_14.png,5,296.769989,293.079987,0
images/OHLC/S&P500_2019-11-28 00:00:00_14.png,5,314.309998,311.459991,0
images/OHLC/S&P500_2020-01-27 00:00:00_14.png,5,323.5,324.119995,1
images/OHLC/S&P500_2020-03-27 00:00:00_14.png,5,253.419998,251.830002,0
images/OHLC/S&P500_2020-05-26 00:00:00_14.png,5,299.079987,305.549988,1
images/OHLC/S&P500_2020-07-25 00:00:00_14.png,5,323.220001,326.519989,1
images/OHLC/S&P500_2020-09-23 00:00:00_14.png,5,322.640015,332.369995,1
images/OHLC/S&P500_2020-11-22 00:00:00_14.png,5,357.459991,362.059998,1
images/OHLC/S&P500_2021-01-21 00:00:00_14.png,5,384.23999,374.410004,0
images/OHLC/S&P500_2021-03-22 00:00:00_14.png,5,392.589996,395.779999,1
images/OHLC/S&P500_2021-05-21 00:00:00_14.png,5,414.940002,419.290009,1
images/OHLC/S&P500_2021-07-20 00:00:00_14.png,5,431.059998,441.019989,1
images/OHLC/S&P500_2021-09-18 00:00:00_14.png,5,434.040009,443.910004,1
images/OHLC/S&P500_2021-11-17 00:00:00_14.png,5,468.140015,468.190002,1
images/OHLC/S&P500_2022-01-16 00:00:00_14.png,5,456.48999,439.839996,0
images/OHLC/S&P500_2022-03-17 00:00:00_14.png,5,441.070007,443.799988,1
images/OHLC/S&P500_2022-05-16 00:00:00_14.png,5,400.089996,396.920013,0
images/OHLC/S&P500_2022-07-15 00:00:00_14.png,5,385.130005,398.790009,1
images/OHLC/S&P500_2022-09-13 00:00:00_14.png,5,393.100006,388.549988,0
images/OHLC/S&P500_2022-11-12 00:00:00_14.png,5,395.119995,396.029999,1
images/OHLC/S&P500_2023-01-11 00:00:00_14.png,5,395.519989,397.769989,1
images/OHLC/S&P500_2023-03-12 00:00:00_14.png,5,385.359985,393.73999,1
images/OHLC/S&P500_2023-05-11 00:00:00_14.png,5,412.130005,415.230011,1
images/OHLC/S&P500_2023-07-10 00:00:00_14.png,5,439.660004,450.839996,1
images/OHLC/S&P500_2023-09-08 00:00:00_14.png,5,445.519989,450.359985,1
images/OHLC/S&P500_2023-11-07 00:00:00_14.png,5,436.929993,440.190002,1
images/OHLC/S&P500_2019-02-01 00:00:00_30.png,5,270.059998,270.140015,1
images/OHLC/S&P500_2019-02-01 00:00:00_30.png,30,270.059998,279.399994,1
images/OHLC/S&P500_2019-04-02 00:00:00_30.png,5,285.970001,288.790009,1
images/OHLC/S&P500_2019-04-02 00:00:00_30.png,30,285.970001,294.029999,1
images/OHLC/S&P500_2019-06-01 00:00:00_30.png,5,274.570007,287.649994,1
images/OHLC/S&P500_2019-06-01 00:00:00_30.png,30,274.570007,296.429993,1
images/OHLC/S&P500_2019-07-31 00:00:00_30.png,5,297.429993,287.799988,0
images/OHLC/S&P500_2019-07-31 00:00:00_30.png,30,297.429993,290.73999,0
images/OHLC/S&P500_2019-09-29 00:00:00_30.png,5,296.769989,293.079987,0
