Image_Type,Timeframe,Prediction,Accuracy,Precision,Recall,F1_Score,Hit_Rate,Average_RoR
OHLC,14,5,0.7166666666666667,0.8,0.625,0.7017543859649122,0.7166666666666667,0.001979778830432725
OHLC,30,5,0.7126436781609196,0.8194444444444444,0.6145833333333334,0.7023809523809524,0.7126436781609196,0.0023966604312820067
OHLC,90,5,0.6607142857142857,0.7058823529411765,0.6521739130434783,0.6779661016949153,0.6607142857142857,0.002350792467710821
OHLC,90,30,0.7857142857142857,0.7368421052631579,0.9333333333333333,0.8235294117647058,0.7857142857142857,0.009778030039451529
OHLC,180,5,0.6234567901234568,0.6190476190476191,0.7558139534883721,0.680628272251309,0.6234567901234568,0.001482988163597695
OHLC,180,30,0.6296296296296297,0.6477272727272727,0.6627906976744186,0.6551724137931033,0.6296296296296297,0.010101164859893439
OHLC,180,90,0.845679012345679,0.896551724137931,0.8297872340425532,0.861878453038674,0.845679012345679,0.017102445220072954
OHLC,365,5,0.5833333333333334,0.5462962962962963,0.8428571428571429,0.6629213483146067,0.5833333333333334,0.0008144894127232547
OHLC,365,30,0.6041666666666666,0.5728155339805825,0.8194444444444444,0.6742857142857143,0.6041666666666666,0.007854286801342078
OHLC,365,90,0.7430555555555556,0.7117117117117117,0.9404761904761905,0.8102564102564102,0.7430555555555556,0.017285832921355198
ColoredOHLC,14,5,0.7,0.8,0.5833333333333334,0.674698795180723,0.7,0.0019797788304327245
ColoredOHLC,30,5,0.7816091954022989,0.9142857142857143,0.6666666666666666,0.7710843373493975,0.7816091954022989,0.0023966604312820063
ColoredOHLC,90,5,0.6904761904761905,0.7380952380952381,0.6739130434782609,0.7045454545454546,0.6904761904761905,0.002350792467710821
ColoredOHLC,90,30,0.7857142857142857,0.7368421052631579,0.9333333333333333,0.8235294117647058,0.7857142857142857,0.009778030039451527
ColoredOHLC,180,5,0.6172839506172839,0.6071428571428571,0.7906976744186046,0.6868686868686869,0.6172839506172839,0.0014829881635976953
ColoredOHLC,180,30,0.5925925925925926,0.6086956521739131,0.6511627906976745,0.6292134831460675,0.5925925925925926,0.010101164859893437
ColoredOHLC,180,90,0.8641975308641975,0.8913043478260869,0.8723404255319149,0.8817204301075269,0.8641975308641975,0.017102445220072957
ColoredOHLC,365,5,0.5694444444444444,0.5357142857142857,0.8571428571428571,0.6593406593406593,0.5694444444444444,0.0008144894127232548
ColoredOHLC,365,30,0.6388888888888888,0.5961538461538461,0.8611111111111112,0.7045454545454546,0.6388888888888888,0.00785428680134208
ColoredOHLC,365,90,0.75,0.7068965517241379,0.9761904761904762,0.8199999999999998,0.75,0.017285832921355198
Line,14,5,0.7111111111111111,0.7894736842105263,0.625,0.6976744186046512,0.7111111111111111,0.001979778830432725
Line,30,5,0.7011494252873564,0.9583333333333334,0.4791666666666667,0.638888888888889,0.7011494252873564,0.0023966604312820063
Line,90,5,0.7142857142857143,0.775,0.6739130434782609,0.7209302325581396,0.7142857142857143,0.002350792467710821
Line,90,30,0.8690476190476191,0.84,0.9333333333333333,0.8842105263157894,0.8690476190476191,0.00977803003945153
Line,180,5,0.6296296296296297,0.6226415094339622,0.7674418604651163,0.6875,0.6296296296296297,0.0014829881635976953
Line,180,30,0.7160493827160493,0.7083333333333334,0.7906976744186046,0.7472527472527473,0.7160493827160493,0.010101164859893439
Line,180,90,0.8888888888888888,0.8958333333333334,0.9148936170212766,0.9052631578947369,0.8888888888888888,0.017102445220072954
Line,365,5,0.5555555555555556,0.5294117647058824,0.7714285714285715,0.627906976744186,0.5555555555555556,0.0008144894127232548
Line,365,30,0.5277777777777778,0.5185185185185185,0.7777777777777778,0.6222222222222222,0.5277777777777778,0.007854286801342078
Line,365,90,0.6944444444444444,0.6612903225806451,0.9761904761904762,0.7884615384615384,0.6944444444444444,0.017285832921355198
AlgoTrading,14,5,0.7333333333333333,0.7857142857142857,0.6875,0.7333333333333334,0.7333333333333333,0.001979778830432725
AlgoTrading,30,5,0.7126436781609196,0.8108108108108109,0.625,0.7058823529411764,0.7126436781609196,0.0023966604312820067
AlgoTrading,90,5,0.6904761904761905,0.7380952380952381,0.6739130434782609,0.7045454545454546,0.6904761904761905,0.002350792467710821
AlgoTrading,90,30,0.7976190476190477,0.7413793103448276,0.9555555555555556,0.8349514563106797,0.7976190476190477,0.009778030039451527
AlgoTrading,180,5,0.5925925925925926,0.6086956521739131,0.6511627906976745,0.6292134831460675,0.5925925925925926,0.0014829881635976953
AlgoTrading,180,30,0.6296296296296297,0.6511627906976745,0.6511627906976745,0.6511627906976745,0.6296296296296297,0.010101164859893439
AlgoTrading,180,90,0.8024691358024691,0.918918918918919,0.723404255319149,0.8095238095238095,0.8024691358024691,0.017102445220072954
AlgoTrading,365,5,0.5694444444444444,0.55,0.6285714285714286,0.5866666666666667,0.5694444444444444,0.0008144894127232547
AlgoTrading,365,30,0.5833333333333334,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.5833333333333334,0.00785428680134208
AlgoTrading,365,90,0.7083333333333334,0.6666666666666666,1.0,0.8,0.7083333333333334,0.0172858329213552
